,,House,,,,,,,,,,,,,
"Jenkins, Lynn",R,House,,,,,,,,,,,,,
"Yoder, Kevin",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Estes, Ron",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Comer, James",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Guthrie, S. Brett",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Yarmuth, John A.",D,House,,,,,,,,,,,,,
"Massie, Thomas",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rogers, Harold",R,House,,,,,,,,,,,,,
"Barr, Andy",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Scalise, Steve",R,House,,,,,,,,,,,,,
"Richmond, Cedric",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Higgins, Clay",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Johnson, Mike",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Abraham, Ralph",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Graves, Garret",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Pingree, Chellie",D,House,,,,,,,,,,,,,
"Poliquin, Bruce",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Harris, Andy",R,House,,,,,,,,,,,,,
"Ruppersberger, C. A. Dutch",D,House,,,,,,,,,,,,,
"Sarbanes, John P.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Brown, Anthony",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hoyer, Steny H.",D,House,,,,,,,,,,,,,
"Delaney, John",D,House,,,,,,,,,,,,,
"Cummings, Elijah",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Raskin, Jamie",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Neal, Richard E.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"McGovern, James",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Tsongas, Niki",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Kennedy III, Joseph P.",D,House,,,,,,,,,,,,,
"Clark, Katherine",D,House,,,,,,,,,,,,,
"Moulton, Seth",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Capuano, Michael E.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lynch, Stephen F.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Keating, William",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Bergman, Jack",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Huizenga, Bill",R,House,,,,,,,,,,,,,
"Amash, Justin",R,House,,,,,,,,,,,,,
"Moolenaar, John",R,House,,,,,,,,,,,,,
"Kildee, Daniel",D,House,,,,,,,,,,,,,
"Upton, Fred",R,House,,,,,,,,,,,,,
"Walberg, Tim",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Bishop, Mike",R,House,,,,,,,,,,,,,
"Levin, Sander",D,House,,,,,,,,,,,,,
"Mitchell, Paul",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Trott, Dave",R,House,,,,,,,,,,,,,
"Dingell, Debbie",D,House,,,,,,,,,,,,,
"Conyers Jr., John",D,House,,,,,,,,,,,,,
"Lawrence, Brenda",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Walz, Timothy J.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lewis, Jason",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Paulsen, Erik",R,House,,,,,,,,,,,,,
"McCollum, Betty",D,House,,,,,,,,,,,,,
"Ellison, Keith",D,House,,,,,,,,,,,,,
"Emmer, Tom",R,House,,,,,,,,,,,,,
"Peterson, Collin C.",D,House,,,,,,,,,,,,,
"Nolan, Rick",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Kelly, Trent",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Thompson, Bennie G.",D,House,,,,,,,,,,,,,
"Harper, Gregg",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Palazzo, Steven",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Clay Jr., William "Lacy"""lay J",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Wagner, Ann",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Luetkemeyer, Blaine",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hartzler, Vicky",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Cleaver, Emanuel",D,House,,,,,,,,,,,,,
"Graves, Sam",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Long, Billy",R,House,,,,,,,,,,,,,
"Smith, Jason",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Gianforte, Greg",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Fortenberry, Jeff",R,House,,,,,,,,,,,,,
"Bacon, Don",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Smith, Adrian",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Titus, Dina",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Amodei, Mark",R,House,,,,,,,,,,,,,
"Rosen, Jacky",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Kihuen, Ruben J.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Shea-Porter, Carol",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Kuster, Ann",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Norcross, Donald",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"LoBiondo, Frank",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"MacArthur, Tom",R,House,,,,,,,,,,,,,
"Smith, Chris",R,House,,,,,,,,,,,,,
"Gottheimer, Josh",D,House,,,,,,,,,,,,,
"Pallone Jr., Frank",D,House,,,,,,,,,,,,,
"Lance, Leonard",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Sires, Albio",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Pascrell Jr., Bill",D,House,,,,,,,,,,,,,
"Payne Jr., Donald",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Frelinghuysen, Rodney",R,House,,,,,,,,,,,,,
"Watson Coleman, Bonnie",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Lujan Grisham, Michelle",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Pearce, Steve",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lujan, Ben R.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Zeldin, Lee",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"King, Pete",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Suozzi, Thomas",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rice, Kathleen",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Meeks, Gregory W.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Meng, Grace",D,House,,,,,,,,,,,,,
"Velázquez, Nydia M.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Jeffries, Hakeem",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Clarke, Yvette D.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Nadler, Jerrold",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Donovan, Daniel",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Maloney, Carolyn",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Espaillat, Adriano",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Crowley, Joseph",D,House,,,,,,,,,,,,,
"Serrano, José E.",D,House,,,,,,,,,,,,,
"Engel, Eliot",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Lowey, Nita",D,House,,,,,,,,,,,,,
"Maloney, Sean Patrick",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Faso, John",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Tonko, Paul D.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Stefanik, Elise",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Tenney, Claudia",R,House,,,,,,,,,,,,,
"Reed, Tom",R,House,,,,,,,,,,,,,
"Katko, John",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Slaughter, Louise",D,House,,,,,,,,,,,,,
"Higgins, Brian",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Collins, Chris",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Butterfield, G.K.",D,House,,,,,,,,,,,,,
"Holding, George",R,House,,,,,,,,,,,,,
"Jones, Walter B.",R,House,,,,,,,,,,,,,
"Price, David",D,House,,,,,,,,,,,,,
"Foxx, Virginia",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Walker, Mark",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rouzer, David",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hudson, Richard",R,House,,,,,,,,,,,,,
"Pittenger, Robert",R,House,,,,,,,,,,,,,
"McHenry, Patrick T.",R,House,,,,,,,,,,,,,
"Meadows, Mark",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
